"","dummybitter","dummysweet","dummywater","javg","sex","age","policonserv","poliliberal","check_enjoy","check_sweet","check_bitter","check_neutral","check_disgusting","check_regular","study"
"1",0,1,0,86.4,1,20,1,0,4,6,2,4,5,3,1
"2",1,0,0,80.4,1,21,1,0,1,1,6,1,7,1,1
"3",0,0,1,48,1,22,0,0,2,2,6,3,5,2,1
"4",1,0,0,76.1,0,44,0,0,1,1,7,1,5,1,1
"5",0,1,0,100,1,18,1,0,2,7,1,1,4,3,1
"6",1,0,0,79.7,0,19,0,0,2,1,6,1,5,1,1
"7",0,0,1,57.6,0,23,0,0,4,1,1,7,1,4,1
"8",0,1,0,66.1,1,20,0,0,3,4,4,3,5,1,1
"9",1,0,0,53.7,0,32,0,0,4,5,3,2,3,3,1
"10",0,1,0,52.6,0,27,0,1,5,7,1,1,1,2,1
"11",0,0,1,45.9,1,24,0,0,4,1,1,7,1,6,1
"12",0,1,0,70.3,1,24,0,1,4,7,1,4,1,2,1
"13",0,0,1,74.7,0,21,1,0,6,1,1,7,1,7,1
"14",1,0,0,72.5,1,22,0,1,2,1,4,1,6,1,1
"15",0,0,1,55.1,1,20,0,1,4,1,1,7,1,7,1
"16",1,0,0,65.8,1,19,0,1,2,1,7,1,6,2,1
"17",0,1,0,61.4,1,21,0,1,6,7,1,2,2,2,1
"18",1,0,0,79.6,1,19,0,0,1,1,6,1,7,1,1
"19",0,0,1,55.8,0,31,1,0,5,4,1,5,1,6,1
"20",0,1,0,98.5,0,36,0,0,4,7,1,3,1,2,1
"21",0,1,0,56.9,0,22,0,0,4,4,4,7,1,4,1
"22",0,0,1,34.2,0,22,0,1,7,1,1,7,1,7,1
"23",0,0,1,89.7,1,28,0,0,4,1,1,7,1,7,1
"24",0,1,0,87.1,1,40,0,1,1,7,1,1,7,1,1
"25",1,0,0,84.9,1,49,0,0,1,1,6,1,5,1,1
"26",0,1,0,52.6,1,25,0,1,6,6,1,2,1,5,1
"27",1,0,0,79.7,1,21,0,1,1,2,2,6,6,1,1
"28",0,0,1,86.7,1,21,0,0,4,1,1,7,1,7,1
"29",0,0,1,62.6,1,18,0,1,4,1,1,7,1,7,1
"30",1,0,0,83.2,1,18,0,0,1,1,7,1,7,1,1
"31",0,1,0,83.5,1,33,0,0,3,6,1,1,5,1,1
"32",0,0,1,91.1,1,33,0,0,5,1,1,7,1,7,1
"33",1,0,0,64.7,1,68,0,0,1,1,7,1,7,1,1
"34",0,0,1,76.6,1,18,0,0,4,1,1,7,1,7,1
"35",1,0,0,76.8,1,20,1,0,1,1,7,3,7,2,1
"36",1,0,0,74.1,1,25,0,0,1,1,6,1,7,1,1
"37",0,0,1,57.6,0,30,1,0,3,1,1,7,1,7,1
"38",0,1,0,79,1,33,0,0,6,5,3,1,1,5,1
"39",0,0,1,65.1,0,18,1,0,5,4,4,7,1,7,1
"40",0,1,0,44.7,1,35,0,1,4,5,1,1,2,1,1
"41",0,1,0,49.6,1,NA,0,0,5,6,1,1,1,4,1
"42",0,0,1,49.6,0,22,0,1,4,4,4,7,1,7,1
"43",1,0,0,93.5,1,23,0,0,1,1,7,1,7,1,1
"44",1,0,0,64.8,1,39,0,1,1,1,7,1,6,1,1
"45",0,1,0,80.1,0,43,0,1,6,6,2,1,1,6,1
"46",0,0,1,66.7,0,21,0,0,4,4,4,7,1,4,1
"47",0,1,0,40.5,0,26,0,0,4,4,4,7,4,4,1
"48",1,0,0,71.7,1,21,0,0,1,1,6,1,7,1,1
"49",1,0,0,60.5,1,19,0,0,3,4,7,1,4,1,1
"50",0,0,1,79.3,1,21,0,0,4,1,1,4,1,7,1
"51",0,1,0,77,1,42,0,0,4,5,1,3,1,4,1
"52",0,1,0,73.8,1,18,0,1,6,6,1,2,1,6,1
"53",0,0,1,52.7,1,20,0,1,7,1,1,7,1,7,1
"54",1,0,0,99.3,1,19,0,1,1,1,7,1,7,1,1
"55",0,0,1,92.2,1,50,0,0,4,4,1,4,1,7,1
"56",0,1,0,66.9,1,21,0,0,4,6,3,4,1,3,1
"57",1,0,0,75.3,1,18,0,1,1,1,7,1,7,1,1
